  0%|                                                                                              | 0/120 [00:00<?, ?it/s]
0 11260 tensor(3.9944, device='cuda:0', grad_fn=<MeanBackward0>)
1 11260 tensor(1.4877, device='cuda:0', grad_fn=<MeanBackward0>)
2 11260 tensor(0.7554, device='cuda:0', grad_fn=<MeanBackward0>)
3 11260 tensor(1.0029, device='cuda:0', grad_fn=<MeanBackward0>)
4 11260 tensor(0.5119, device='cuda:0', grad_fn=<MeanBackward0>)
5 11260 tensor(0.5444, device='cuda:0', grad_fn=<MeanBackward0>)
6 11260 tensor(0.4274, device='cuda:0', grad_fn=<MeanBackward0>)
7 11260 tensor(0.4398, device='cuda:0', grad_fn=<MeanBackward0>)
8 11260 tensor(0.3947, device='cuda:0', grad_fn=<MeanBackward0>)
9 11260 tensor(0.3759, device='cuda:0', grad_fn=<MeanBackward0>)
10 11260 tensor(0.3872, device='cuda:0', grad_fn=<MeanBackward0>)
11 11260 tensor(0.3611, device='cuda:0', grad_fn=<MeanBackward0>)
12 11260 tensor(0.3852, device='cuda:0', grad_fn=<MeanBackward0>)
13 11260 tensor(0.3399, device='cuda:0', grad_fn=<MeanBackward0>)
14 11260 tensor(0.3648, device='cuda:0', grad_fn=<MeanBackward0>)
15 11260 tensor(0.4030, device='cuda:0', grad_fn=<MeanBackward0>)
16 11260 tensor(0.3087, device='cuda:0', grad_fn=<MeanBackward0>)
17 11260 tensor(0.3288, device='cuda:0', grad_fn=<MeanBackward0>)
18 11260 tensor(0.3709, device='cuda:0', grad_fn=<MeanBackward0>)
19 11260 tensor(0.4114, device='cuda:0', grad_fn=<MeanBackward0>)
20 11260 tensor(0.3585, device='cuda:0', grad_fn=<MeanBackward0>)
21 11260 tensor(0.3966, device='cuda:0', grad_fn=<MeanBackward0>)
22 11260 tensor(0.3001, device='cuda:0', grad_fn=<MeanBackward0>)
23 11260 tensor(0.3313, device='cuda:0', grad_fn=<MeanBackward0>)
24 11260 tensor(0.3119, device='cuda:0', grad_fn=<MeanBackward0>)
25 11260 tensor(0.2880, device='cuda:0', grad_fn=<MeanBackward0>)
26 11260 tensor(0.3288, device='cuda:0', grad_fn=<MeanBackward0>)
27 11260 tensor(0.2982, device='cuda:0', grad_fn=<MeanBackward0>)
28 11260 tensor(0.3587, device='cuda:0', grad_fn=<MeanBackward0>)
29 11260 tensor(0.3068, device='cuda:0', grad_fn=<MeanBackward0>)
30 11260 tensor(0.2839, device='cuda:0', grad_fn=<MeanBackward0>)
31 11260 tensor(0.3814, device='cuda:0', grad_fn=<MeanBackward0>)
32 11260 tensor(0.3092, device='cuda:0', grad_fn=<MeanBackward0>)
33 11260 tensor(0.3177, device='cuda:0', grad_fn=<MeanBackward0>)
34 11260 tensor(0.2754, device='cuda:0', grad_fn=<MeanBackward0>)
35 11260 tensor(0.3437, device='cuda:0', grad_fn=<MeanBackward0>)
36 11260 tensor(0.2718, device='cuda:0', grad_fn=<MeanBackward0>)
37 11260 tensor(0.3280, device='cuda:0', grad_fn=<MeanBackward0>)
38 11260 tensor(0.3109, device='cuda:0', grad_fn=<MeanBackward0>)
39 11260 tensor(0.2838, device='cuda:0', grad_fn=<MeanBackward0>)
40 11260 tensor(0.2673, device='cuda:0', grad_fn=<MeanBackward0>)
41 11260 tensor(0.3178, device='cuda:0', grad_fn=<MeanBackward0>)
42 11260 tensor(0.2798, device='cuda:0', grad_fn=<MeanBackward0>)
43 11260 tensor(0.2394, device='cuda:0', grad_fn=<MeanBackward0>)
44 11260 tensor(0.3189, device='cuda:0', grad_fn=<MeanBackward0>)
45 11260 tensor(0.3181, device='cuda:0', grad_fn=<MeanBackward0>)
46 11260 tensor(0.2367, device='cuda:0', grad_fn=<MeanBackward0>)
47 11260 tensor(0.3179, device='cuda:0', grad_fn=<MeanBackward0>)
48 11260 tensor(0.2434, device='cuda:0', grad_fn=<MeanBackward0>)
49 11260 tensor(0.2929, device='cuda:0', grad_fn=<MeanBackward0>)
50 11260 tensor(0.3159, device='cuda:0', grad_fn=<MeanBackward0>)
51 11260 tensor(0.3084, device='cuda:0', grad_fn=<MeanBackward0>)
52 11260 tensor(0.2992, device='cuda:0', grad_fn=<MeanBackward0>)
53 11260 tensor(0.2683, device='cuda:0', grad_fn=<MeanBackward0>)
54 11260 tensor(0.2838, device='cuda:0', grad_fn=<MeanBackward0>)
55 11260 tensor(0.3051, device='cuda:0', grad_fn=<MeanBackward0>)
56 11260 tensor(0.2738, device='cuda:0', grad_fn=<MeanBackward0>)
57 11260 tensor(0.2734, device='cuda:0', grad_fn=<MeanBackward0>)
58 11260 tensor(0.2121, device='cuda:0', grad_fn=<MeanBackward0>)
59 11260 tensor(0.2805, device='cuda:0', grad_fn=<MeanBackward0>)
60 11260 tensor(0.2755, device='cuda:0', grad_fn=<MeanBackward0>)
61 11260 tensor(0.2492, device='cuda:0', grad_fn=<MeanBackward0>)
62 11260 tensor(0.2513, device='cuda:0', grad_fn=<MeanBackward0>)
63 11260 tensor(0.2813, device='cuda:0', grad_fn=<MeanBackward0>)
64 11260 tensor(0.2881, device='cuda:0', grad_fn=<MeanBackward0>)
65 11260 tensor(0.2988, device='cuda:0', grad_fn=<MeanBackward0>)
66 11260 tensor(0.2430, device='cuda:0', grad_fn=<MeanBackward0>)
67 11260 tensor(0.3017, device='cuda:0', grad_fn=<MeanBackward0>)
68 11260 tensor(0.2430, device='cuda:0', grad_fn=<MeanBackward0>)
69 11260 tensor(0.2858, device='cuda:0', grad_fn=<MeanBackward0>)
70 11260 tensor(0.2908, device='cuda:0', grad_fn=<MeanBackward0>)
71 11260 tensor(0.3111, device='cuda:0', grad_fn=<MeanBackward0>)
72 11260 tensor(0.3263, device='cuda:0', grad_fn=<MeanBackward0>)
73 11260 tensor(0.2899, device='cuda:0', grad_fn=<MeanBackward0>)
74 11260 tensor(0.2869, device='cuda:0', grad_fn=<MeanBackward0>)
75 11260 tensor(0.2257, device='cuda:0', grad_fn=<MeanBackward0>)
76 11260 tensor(0.2415, device='cuda:0', grad_fn=<MeanBackward0>)
77 11260 tensor(0.2206, device='cuda:0', grad_fn=<MeanBackward0>)
78 11260 tensor(0.3037, device='cuda:0', grad_fn=<MeanBackward0>)
79 11260 tensor(0.2569, device='cuda:0', grad_fn=<MeanBackward0>)
80 11260 tensor(0.1365, device='cuda:0', grad_fn=<MeanBackward0>)
81 11260 tensor(0.2913, device='cuda:0', grad_fn=<MeanBackward0>)
82 11260 tensor(0.2210, device='cuda:0', grad_fn=<MeanBackward0>)
83 11260 tensor(0.2310, device='cuda:0', grad_fn=<MeanBackward0>)
84 11260 tensor(0.2870, device='cuda:0', grad_fn=<MeanBackward0>)
85 11260 tensor(0.2501, device='cuda:0', grad_fn=<MeanBackward0>)
86 11260 tensor(0.2740, device='cuda:0', grad_fn=<MeanBackward0>)
87 11260 tensor(0.2826, device='cuda:0', grad_fn=<MeanBackward0>)
88 11260 tensor(0.3023, device='cuda:0', grad_fn=<MeanBackward0>)
89 11260 tensor(0.2194, device='cuda:0', grad_fn=<MeanBackward0>)
90 11260 tensor(0.2086, device='cuda:0', grad_fn=<MeanBackward0>)
91 11260 tensor(0.2425, device='cuda:0', grad_fn=<MeanBackward0>)
92 11260 tensor(0.1868, device='cuda:0', grad_fn=<MeanBackward0>)
93 11260 tensor(0.2665, device='cuda:0', grad_fn=<MeanBackward0>)
94 11260 tensor(0.2735, device='cuda:0', grad_fn=<MeanBackward0>)
95 11260 tensor(0.3180, device='cuda:0', grad_fn=<MeanBackward0>)
96 11260 tensor(0.2630, device='cuda:0', grad_fn=<MeanBackward0>)
97 11260 tensor(0.2812, device='cuda:0', grad_fn=<MeanBackward0>)
98 11260 tensor(0.1598, device='cuda:0', grad_fn=<MeanBackward0>)
99 11260 tensor(0.2591, device='cuda:0', grad_fn=<MeanBackward0>)
100 11260 tensor(0.1368, device='cuda:0', grad_fn=<MeanBackward0>)
101 11260 tensor(0.2360, device='cuda:0', grad_fn=<MeanBackward0>)
102 11260 tensor(0.2027, device='cuda:0', grad_fn=<MeanBackward0>)
103 11260 tensor(0.2194, device='cuda:0', grad_fn=<MeanBackward0>)
104 11260 tensor(0.2792, device='cuda:0', grad_fn=<MeanBackward0>)
105 11260 tensor(0.2784, device='cuda:0', grad_fn=<MeanBackward0>)
106 11260 tensor(0.2243, device='cuda:0', grad_fn=<MeanBackward0>)
107 11260 tensor(0.2649, device='cuda:0', grad_fn=<MeanBackward0>)
108 11260 tensor(0.1691, device='cuda:0', grad_fn=<MeanBackward0>)
109 11260 tensor(0.2698, device='cuda:0', grad_fn=<MeanBackward0>)
110 11260 tensor(0.2535, device='cuda:0', grad_fn=<MeanBackward0>)
111 11260 tensor(0.2280, device='cuda:0', grad_fn=<MeanBackward0>)
112 11260 tensor(0.1969, device='cuda:0', grad_fn=<MeanBackward0>)
113 11260 tensor(0.2576, device='cuda:0', grad_fn=<MeanBackward0>)
114 11260 tensor(0.3905, device='cuda:0', grad_fn=<MeanBackward0>)
115 11260 tensor(0.3035, device='cuda:0', grad_fn=<MeanBackward0>)
116 11260 tensor(0.1964, device='cuda:0', grad_fn=<MeanBackward0>)
117 11260 tensor(0.1912, device='cuda:0', grad_fn=<MeanBackward0>)
118 11260 tensor(0.3409, device='cuda:0', grad_fn=<MeanBackward0>)
119 11260 tensor(0.2537, device='cuda:0', grad_fn=<MeanBackward0>)
120 11260 tensor(0.3101, device='cuda:0', grad_fn=<MeanBackward0>)
121 11260 tensor(0.2715, device='cuda:0', grad_fn=<MeanBackward0>)
122 11260 tensor(0.2883, device='cuda:0', grad_fn=<MeanBackward0>)
123 11260 tensor(0.2703, device='cuda:0', grad_fn=<MeanBackward0>)
124 11260 tensor(0.2829, device='cuda:0', grad_fn=<MeanBackward0>)
125 11260 tensor(0.4411, device='cuda:0', grad_fn=<MeanBackward0>)
126 11260 tensor(0.2696, device='cuda:0', grad_fn=<MeanBackward0>)
127 11260 tensor(0.2498, device='cuda:0', grad_fn=<MeanBackward0>)
128 11260 tensor(0.3110, device='cuda:0', grad_fn=<MeanBackward0>)
129 11260 tensor(0.2370, device='cuda:0', grad_fn=<MeanBackward0>)
130 11260 tensor(0.3386, device='cuda:0', grad_fn=<MeanBackward0>)
131 11260 tensor(0.2920, device='cuda:0', grad_fn=<MeanBackward0>)
132 11260 tensor(0.3033, device='cuda:0', grad_fn=<MeanBackward0>)
133 11260 tensor(0.2542, device='cuda:0', grad_fn=<MeanBackward0>)
134 11260 tensor(0.2435, device='cuda:0', grad_fn=<MeanBackward0>)
135 11260 tensor(0.2571, device='cuda:0', grad_fn=<MeanBackward0>)
136 11260 tensor(0.1705, device='cuda:0', grad_fn=<MeanBackward0>)
137 11260 tensor(0.1601, device='cuda:0', grad_fn=<MeanBackward0>)
138 11260 tensor(0.2347, device='cuda:0', grad_fn=<MeanBackward0>)
139 11260 tensor(0.3033, device='cuda:0', grad_fn=<MeanBackward0>)
140 11260 tensor(0.2996, device='cuda:0', grad_fn=<MeanBackward0>)
141 11260 tensor(0.2421, device='cuda:0', grad_fn=<MeanBackward0>)
142 11260 tensor(0.1867, device='cuda:0', grad_fn=<MeanBackward0>)
143 11260 tensor(0.2802, device='cuda:0', grad_fn=<MeanBackward0>)
144 11260 tensor(0.3366, device='cuda:0', grad_fn=<MeanBackward0>)
145 11260 tensor(0.3009, device='cuda:0', grad_fn=<MeanBackward0>)
146 11260 tensor(0.2311, device='cuda:0', grad_fn=<MeanBackward0>)
