  0%|                                                                                              | 0/120 [00:00<?, ?it/s]
0 11260 tensor(6.3051, device='cuda:0', grad_fn=<MeanBackward0>)
1 11260 tensor(2.3453, device='cuda:0', grad_fn=<MeanBackward0>)
2 11260 tensor(1.1317, device='cuda:0', grad_fn=<MeanBackward0>)
3 11260 tensor(0.5791, device='cuda:0', grad_fn=<MeanBackward0>)
4 11260 tensor(0.2280, device='cuda:0', grad_fn=<MeanBackward0>)
5 11260 tensor(0.1775, device='cuda:0', grad_fn=<MeanBackward0>)
6 11260 tensor(0.1297, device='cuda:0', grad_fn=<MeanBackward0>)
7 11260 tensor(0.0881, device='cuda:0', grad_fn=<MeanBackward0>)
8 11260 tensor(0.2867, device='cuda:0', grad_fn=<MeanBackward0>)
9 11260 tensor(0.6435, device='cuda:0', grad_fn=<MeanBackward0>)
10 11260 tensor(1.5475, device='cuda:0', grad_fn=<MeanBackward0>)
11 11260 tensor(1.6449, device='cuda:0', grad_fn=<MeanBackward0>)
12 11260 tensor(0.6556, device='cuda:0', grad_fn=<MeanBackward0>)
13 11260 tensor(0.3023, device='cuda:0', grad_fn=<MeanBackward0>)
14 11260 tensor(0.4568, device='cuda:0', grad_fn=<MeanBackward0>)
15 11260 tensor(0.4908, device='cuda:0', grad_fn=<MeanBackward0>)
16 11260 tensor(0.4611, device='cuda:0', grad_fn=<MeanBackward0>)
17 11260 tensor(0.1266, device='cuda:0', grad_fn=<MeanBackward0>)
18 11260 tensor(0.6121, device='cuda:0', grad_fn=<MeanBackward0>)
19 11260 tensor(1.5456, device='cuda:0', grad_fn=<MeanBackward0>)
20 11260 tensor(1.7300, device='cuda:0', grad_fn=<MeanBackward0>)
21 11260 tensor(1.2317, device='cuda:0', grad_fn=<MeanBackward0>)
22 11260 tensor(0.6473, device='cuda:0', grad_fn=<MeanBackward0>)
23 11260 tensor(1.0615, device='cuda:0', grad_fn=<MeanBackward0>)
24 11260 tensor(1.4438, device='cuda:0', grad_fn=<MeanBackward0>)
25 11260 tensor(0.7525, device='cuda:0', grad_fn=<MeanBackward0>)
26 11260 tensor(0.7570, device='cuda:0', grad_fn=<MeanBackward0>)
27 11260 tensor(0.6520, device='cuda:0', grad_fn=<MeanBackward0>)
28 11260 tensor(0.9374, device='cuda:0', grad_fn=<MeanBackward0>)
29 11260 tensor(0.7242, device='cuda:0', grad_fn=<MeanBackward0>)
30 11260 tensor(0.3107, device='cuda:0', grad_fn=<MeanBackward0>)
31 11260 tensor(0.3391, device='cuda:0', grad_fn=<MeanBackward0>)
32 11260 tensor(0.4625, device='cuda:0', grad_fn=<MeanBackward0>)
33 11260 tensor(0.4435, device='cuda:0', grad_fn=<MeanBackward0>)
34 11260 tensor(0.3711, device='cuda:0', grad_fn=<MeanBackward0>)
35 11260 tensor(0.3495, device='cuda:0', grad_fn=<MeanBackward0>)
36 11260 tensor(0.3823, device='cuda:0', grad_fn=<MeanBackward0>)
37 11260 tensor(0.3634, device='cuda:0', grad_fn=<MeanBackward0>)
38 11260 tensor(0.3506, device='cuda:0', grad_fn=<MeanBackward0>)
39 11260 tensor(0.4462, device='cuda:0', grad_fn=<MeanBackward0>)
40 11260 tensor(0.6669, device='cuda:0', grad_fn=<MeanBackward0>)
41 11260 tensor(0.5536, device='cuda:0', grad_fn=<MeanBackward0>)
42 11260 tensor(0.5731, device='cuda:0', grad_fn=<MeanBackward0>)
43 11260 tensor(0.4798, device='cuda:0', grad_fn=<MeanBackward0>)
44 11260 tensor(0.3772, device='cuda:0', grad_fn=<MeanBackward0>)
45 11260 tensor(0.2797, device='cuda:0', grad_fn=<MeanBackward0>)
