2025-07-11 14:32:41,536 INFO    MainThread:98 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_setup.py:_flush():80] Configure stats pid to 98
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_setup.py:_flush():80] Loading settings from /root/.config/wandb/settings
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_setup.py:_flush():80] Loading settings from /code/RLoc/training/wandb/settings
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /code/RLoc/training/wandb/run-20250711_143241-b0by82wp/logs/debug.log
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /code/RLoc/training/wandb/run-20250711_143241-b0by82wp/logs/debug-internal.log
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_init.py:init():830] calling init triggers
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'params_path': '../config/config_radarloc.txt', 'model_params_path': '../models/radarloc.txt', 'dataset': 'mulran', 'dataset_folder': '/code/SHeRLoc/src/dataset/HeRCULES', 'num_workers': 1, 'batch_size': 320, 'batch_expansion_th': 0.3, 'batch_size_limit': 256, 'batch_expansion_rate': 1.4, 'lr': 0.001, 'scheduler_milestones': [80], 'epochs': 20, 'weight_decay': 0.001, 'loss': 'BatchHardTripletMarginLoss', 'margin': 1.0, 'aug_mode': 2, 'train_file': '/code/SHeRLoc/src/dataset/HeRCULES/train_R/Library_Day_Library_Night_5_50_polar_nav.pickle', 'val_file': '/code/SHeRLoc/src/dataset/HeRCULES/val_R/Library_Day_Library_Night_5_50_polar_nav.pickle', 'test_file': '/code/SHeRLoc/src/dataset/HeRCULES/test_R_Day_384.pickle', 'model_params.model_params_path': '../models/radarloc.txt', 'model_params.output_dim': 256, 'model_params.lidar_model': None, 'model_params.radar_model': 'radarloc', '_wandb': {}}
2025-07-11 14:32:41,537 INFO    MainThread:98 [wandb_init.py:init():871] starting backend
2025-07-11 14:32:41,801 INFO    MainThread:98 [wandb_init.py:init():874] sending inform_init request
2025-07-11 14:32:41,859 INFO    MainThread:98 [wandb_init.py:init():882] backend started and connected
2025-07-11 14:32:41,862 INFO    MainThread:98 [wandb_init.py:init():953] updated telemetry
2025-07-11 14:32:41,908 INFO    MainThread:98 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-11 14:32:42,703 INFO    MainThread:98 [wandb_init.py:init():1029] starting run threads in backend
2025-07-11 14:32:42,786 INFO    MainThread:98 [wandb_run.py:_console_start():2458] atexit reg
2025-07-11 14:32:42,786 INFO    MainThread:98 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-11 14:32:42,786 INFO    MainThread:98 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-11 14:32:42,786 INFO    MainThread:98 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-11 14:32:42,790 INFO    MainThread:98 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-11 14:32:59,059 INFO    MsgRouterThr:98 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
